Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
May 2009 First Open Bidding Exercise,06/05/2009,2009,Cat C (Goods vehicles and buses),231,"$7,100",310,225,,,,,,,,,,,
May 2009 First Open Bidding Exercise,06/05/2009,2009,Cat E (Open),716,"$8,501","1,409",713,,,,,,,,,,,
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,396","$7,589","1,906","1,390",,,,,,,,,,,
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat B (Cars above 1600cc or 97kW),769,"$7,490","1,001",755,,,,,,,,,,,
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat D (Motorcycles),421,$889,555,418,,,,,,,,,,,
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat C (Goods vehicles and buses),262,"$6,610",412,255,,,,,,,,,,,
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat E (Open),717,"$7,789","1,365",708,,,,,,,,,,,
April 2009 First Open Bidding Exercise,08/04/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,396","$7,090","2,026","1,396",,,,,,,,,,,
April 2009 First Open Bidding Exercise,08/04/2009,2009,Cat B (Cars above 1600cc or 97kW),761,"$7,501","1,036",707,,,,,,,,,,,
April 2009 First Open Bidding Exercise,08/04/2009,2009,Cat D (Motorcycles),391,"$1,053",545,389,,,,,,,,,,,
April 2009 First Open Bidding Exercise,08/04/2009,2009,Cat C (Goods vehicles and buses),240,"$7,302",537,240,,,,,,,,,,,
April 2009 First Open Bidding Exercise,08/04/2009,2009,Cat E (Open),720,"$7,326","1,202",720,,,,,,,,,,,
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,843","$5,116","2,202","1,843",,,,,,,,,,,
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,110","$5,001","1,359","1,101",,,,,,,,,,,
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat D (Motorcycles),409,$912,513,378,,,,,,,,,,,
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat C (Goods vehicles and buses),265,"$5,600",516,234,,,,,,,,,,,
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat E (Open),768,"$5,982","1,228",768,,,,,,,,,,,
March 2009 First Open Bidding Exercise,04/03/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,839","$4,890","2,376","1,839",,,,,,,,,,,
March 2009 First Open Bidding Exercise,04/03/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,101","$5,101","1,346","1,100",,,,,,,,,,,
March 2009 First Open Bidding Exercise,04/03/2009,2009,Cat D (Motorcycles),420,$958,674,419,,,,,,,,,,,
March 2009 First Open Bidding Exercise,04/03/2009,2009,Cat C (Goods vehicles and buses),264,"$5,300",512,255,,,,,,,,,,,
March 2009 First Open Bidding Exercise,04/03/2009,2009,Cat E (Open),762,"$5,700","1,298",759,,,,,,,,,,,
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,846","$4,460","2,722","1,842",,,,,,,,,,,
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,101","$4,889","1,675","1,090",,,,,,,,,,,
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat D (Motorcycles),434,$801,650,434,,,,,,,,,,,
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat C (Goods vehicles and buses),272,"$4,190",403,271,,,,,,,,,,,
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat E (Open),762,"$5,889","1,507",746,,,,,,,,,,,
February 2009 First Open Bidding Exercise,04/02/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,894","$1,020","2,077","1,894",,,,,,,,,,,
February 2009 First Open Bidding Exercise,04/02/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,099",$689,"1,231","1,097",,,,,,,,,,,
February 2009 First Open Bidding Exercise,04/02/2009,2009,Cat D (Motorcycles),417,$701,674,406,,,,,,,,,,,
February 2009 First Open Bidding Exercise,04/02/2009,2009,Cat C (Goods vehicles and buses),264,"$2,590",350,264,,,,,,,,,,,
February 2009 First Open Bidding Exercise,04/02/2009,2009,Cat E (Open),756,"$3,000","1,225",746,,,,,,,,,,,
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,839","$2,693","2,109","1,832",,,,,,,,,,,
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,099",$200,"1,179","1,097",,,,,,,,,,,
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat D (Motorcycles),411,$900,606,386,,,,,,,,,,,
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat C (Goods vehicles and buses),268,"$2,900",320,260,,,,,,,,,,,
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat E (Open),758,"$3,200","1,025",748,,,,,,,,,,,
January 2009 First Open Bidding Exercise,07/01/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,839","$5,001","2,541","1,784",,,,,,,,,,,
January 2009 First Open Bidding Exercise,07/01/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,100","$3,089","1,332","1,100",,,,,,,,,,,
January 2009 First Open Bidding Exercise,07/01/2009,2009,Cat D (Motorcycles),409,"$1,000",583,401,,,,,,,,,,,
January 2009 First Open Bidding Exercise,07/01/2009,2009,Cat C (Goods vehicles and buses),274,"$3,502",344,274,,,,,,,,,,,
January 2009 First Open Bidding Exercise,07/01/2009,2009,Cat E (Open),767,"$5,701","1,118",763,,,,,,,,,,,
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,851","$6,200","2,788","1,851",,,,,,,,,,,
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,102","$2,656","1,318","1,102",,,,,,,,,,,
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat D (Motorcycles),414,"$1,059",538,412,,,,,,,,,,,
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat C (Goods vehicles and buses),264,"$4,001",373,260,,,,,,,,,,,
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat E (Open),759,"$6,509","1,138",754,,,,,,,,,,,
December 2008 First Open Bidding Exercise,03/12/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,840","$7,721","3,149","1,840",,,,,,,,,,,
December 2008 First Open Bidding Exercise,03/12/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100","$6,501","1,411","1,099",,,,,,,,,,,
December 2008 First Open Bidding Exercise,03/12/2008,2008,Cat D (Motorcycles),414,"$1,102",640,414,,,,,,,,,,,
December 2008 First Open Bidding Exercise,03/12/2008,2008,Cat C (Goods vehicles and buses),267,"$5,212",374,257,,,,,,,,,,,
December 2008 First Open Bidding Exercise,03/12/2008,2008,Cat E (Open),761,"$7,589","1,337",747,,,,,,,,,,,
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,851",$2,"1,852","1,840",,,,,,,,,,,
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100","$4,889","1,181","1,097",,,,,,,,,,,
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat D (Motorcycles),410,"$1,012",512,405,,,,,,,,,,,
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat C (Goods vehicles and buses),282,"$6,189",368,282,,,,,,,,,,,
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat E (Open),757,"$6,889","1,027",751,,,,,,,,,,,
November 2008 First Open Bidding Exercise,05/11/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,848","$10,455","2,049","1,848",,,,,,,,,,,
November 2008 First Open Bidding Exercise,05/11/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099","$8,301","1,216","1,098",,,,,,,,,,,
November 2008 First Open Bidding Exercise,05/11/2008,2008,Cat D (Motorcycles),432,"$1,509",598,427,,,,,,,,,,,
November 2008 First Open Bidding Exercise,05/11/2008,2008,Cat C (Goods vehicles and buses),269,"$8,889",353,266,,,,,,,,,,,
November 2008 First Open Bidding Exercise,05/11/2008,2008,Cat E (Open),760,"$10,490","1,061",752,,,,,,,,,,,
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,846","$10,989","2,149","1,835",,,,,,,,,,,
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100","$7,589","1,302","1,099",,,,,,,,,,,
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat D (Motorcycles),420,"$1,609",576,419,,,,,,,,,,,
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat C (Goods vehicles and buses),270,"$11,503",390,252,,,,,,,,,,,
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat E (Open),769,"$12,001","1,100",765,,,,,,,,,,,
October 2008 First Open Bidding Exercise,08/10/2008,2008,Cat A (Cars up to 1600cc and 97kW),"1,856","$13,801","2,320","1,848",,,,,,,,,,,
October 2008 First Open Bidding Exercise,08/10/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,132","$14,400","1,338","1,132",,,,,,,,,,,
October 2008 First Open Bidding Exercise,08/10/2008,2008,Cat D (Motorcycles),410,"$1,889",695,387,,,,,,,,,,,
October 2008 First Open Bidding Exercise,08/10/2008,2008,Cat C (Goods vehicles and buses),266,"$15,899",318,261,,,,,,,,,,,
October 2008 First Open Bidding Exercise,08/10/2008,2008,Cat E (Open),754,"$15,058","1,144",747,,,,,,,,,,,
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,035","$14,100","2,765","2,029",,,,,,,,,,,
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,127","$13,301","1,288","1,126",,,,,,,,,,,
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat D (Motorcycles),446,"$1,554",605,435,,,,,,,,,,,
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat C (Goods vehicles and buses),385,"$14,890",489,379,,,,,,,,,,,
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat E (Open),880,"$14,889","1,408",864,,,,,,,,,,,
September 2008 First Open Bidding Exercise,03/09/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,038","$9,501","2,172","2,022",,,,,,,,,,,
September 2008 First Open Bidding Exercise,03/09/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099","$13,389","1,195","1,066",,,,,,,,,,,
September 2008 First Open Bidding Exercise,03/09/2008,2008,Cat D (Motorcycles),447,"$1,452",584,446,,,,,,,,,,,
September 2008 First Open Bidding Exercise,03/09/2008,2008,Cat C (Goods vehicles and buses),385,"$13,889",466,383,,,,,,,,,,,
September 2008 First Open Bidding Exercise,03/09/2008,2008,Cat E (Open),880,"$14,300","1,503",879,,,,,,,,,,,
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,036","$13,289","2,318","2,036",,,,,,,,,,,
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099","$13,890","1,362","1,071",,,,,,,,,,,
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat D (Motorcycles),446,"$1,310",548,445,,,,,,,,,,,
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat C (Goods vehicles and buses),378,"$12,989",492,370,,,,,,,,,,,
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat E (Open),883,"$14,001","1,318",878,,,,,,,,,,,
August 2008 First Open Bidding Exercise,06/08/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,035","$12,501","2,267","2,032",,,,,,,,,,,
August 2008 First Open Bidding Exercise,06/08/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,104","$12,889","1,253","1,104",,,,,,,,,,,
August 2008 First Open Bidding Exercise,06/08/2008,2008,Cat D (Motorcycles),452,"$1,413",684,450,,,,,,,,,,,
August 2008 First Open Bidding Exercise,06/08/2008,2008,Cat C (Goods vehicles and buses),384,"$12,589",522,376,,,,,,,,,,,
August 2008 First Open Bidding Exercise,06/08/2008,2008,Cat E (Open),884,"$14,101","1,229",879,,,,,,,,,,,
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,048","$14,101","2,464","2,047",,,,,,,,,,,
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099","$14,235","1,307","1,099",,,,,,,,,,,
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat D (Motorcycles),475,"$1,489",600,474,,,,,,,,,,,
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat C (Goods vehicles and buses),386,"$12,659",497,385,,,,,,,,,,,
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat E (Open),880,"$14,858","1,178",872,,,,,,,,,,,
July 2008 First Open Bidding Exercise,09/07/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,036","$14,685","2,463","2,036",,,,,,,,,,,
July 2008 First Open Bidding Exercise,09/07/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099","$15,501","1,383","1,094",,,,,,,,,,,
July 2008 First Open Bidding Exercise,09/07/2008,2008,Cat D (Motorcycles),448,"$1,551",707,441,,,,,,,,,,,
July 2008 First Open Bidding Exercise,09/07/2008,2008,Cat C (Goods vehicles and buses),377,"$12,959",535,370,,,,,,,,,,,
July 2008 First Open Bidding Exercise,09/07/2008,2008,Cat E (Open),875,"$15,661","1,258",866,,,,,,,,,,,
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,037","$14,101","2,319","2,024",,,,,,,,,,,
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099","$14,689","1,280","1,099",,,,,,,,,,,
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat D (Motorcycles),447,"$1,102",631,417,,,,,,,,,,,
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat C (Goods vehicles and buses),383,"$12,002",550,374,,,,,,,,,,,
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat E (Open),878,"$15,459","1,352",873,,,,,,,,,,,
June 2008 First Open Bidding Exercise,04/06/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,038","$14,590","2,500","2,038",,,,,,,,,,,
June 2008 First Open Bidding Exercise,04/06/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,125","$14,640","1,282","1,125",,,,,,,,,,,
June 2008 First Open Bidding Exercise,04/06/2008,2008,Cat D (Motorcycles),454,"$1,083",708,451,,,,,,,,,,,
June 2008 First Open Bidding Exercise,04/06/2008,2008,Cat C (Goods vehicles and buses),377,"$13,501",501,377,,,,,,,,,,,
June 2008 First Open Bidding Exercise,04/06/2008,2008,Cat E (Open),882,"$16,301","1,221",882,,,,,,,,,,,
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,063","$15,701","2,824","2,062",,,,,,,,,,,
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100","$17,113","1,396","1,100",,,,,,,,,,,
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat D (Motorcycles),484,"$1,109",762,482,,,,,,,,,,,
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat C (Goods vehicles and buses),379,"$14,756",531,373,,,,,,,,,,,
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat E (Open),876,"$16,700","1,345",873,,,,,,,,,,,
May 2008 First Open Bidding Exercise,07/05/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,053","$11,009","2,211","2,051",,,,,,,,,,,
May 2008 First Open Bidding Exercise,07/05/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,101","$15,889","1,230","1,075",,,,,,,,,,,
May 2008 First Open Bidding Exercise,07/05/2008,2008,Cat D (Motorcycles),447,"$1,289",569,438,,,,,,,,,,,
May 2008 First Open Bidding Exercise,07/05/2008,2008,Cat C (Goods vehicles and buses),384,"$15,889",493,384,,,,,,,,,,,
May 2008 First Open Bidding Exercise,07/05/2008,2008,Cat E (Open),886,"$16,500","1,416",879,,,,,,,,,,,
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,036","$15,600","2,197","2,009",,,,,,,,,,,
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,119","$17,510","1,324","1,118",,,,,,,,,,,
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat D (Motorcycles),455,"$1,152",545,417,,,,,,,,,,,
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat C (Goods vehicles and buses),379,"$18,151",481,377,,,,,,,,,,,
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat E (Open),877,"$18,451","1,266",876,,,,,,,,,,,
April 2008 First Open Bidding Exercise,09/04/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,043","$16,930","2,570","2,026",,,,,,,,,,,
April 2008 First Open Bidding Exercise,09/04/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,132","$19,501","1,382","1,130",,,,,,,,,,,
April 2008 First Open Bidding Exercise,09/04/2008,2008,Cat D (Motorcycles),449,"$1,012",586,448,,,,,,,,,,,
April 2008 First Open Bidding Exercise,09/04/2008,2008,Cat C (Goods vehicles and buses),383,"$18,900",443,376,,,,,,,,,,,
April 2008 First Open Bidding Exercise,09/04/2008,2008,Cat E (Open),881,"$19,389","1,348",870,,,,,,,,,,,
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,161","$15,389","2,474","2,161",,,,,,,,,,,
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,130","$19,001","1,387","1,110",,,,,,,,,,,
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat D (Motorcycles),439,$901,662,430,,,,,,,,,,,
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat C (Goods vehicles and buses),349,"$17,610",453,347,,,,,,,,,,,
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat E (Open),"1,088","$18,854","1,713","1,086",,,,,,,,,,,
March 2008 First Open Bidding Exercise,05/03/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,171","$14,351","2,727","2,164",,,,,,,,,,,
March 2008 First Open Bidding Exercise,05/03/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,125","$18,000","1,499","1,092",,,,,,,,,,,
March 2008 First Open Bidding Exercise,05/03/2008,2008,Cat D (Motorcycles),442,$959,612,439,,,,,,,,,,,
March 2008 First Open Bidding Exercise,05/03/2008,2008,Cat C (Goods vehicles and buses),352,"$16,310",550,347,,,,,,,,,,,
March 2008 First Open Bidding Exercise,05/03/2008,2008,Cat E (Open),"1,088","$18,670","1,929","1,082",,,,,,,,,,,
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,291","$12,856","2,923","2,288",,,,,,,,,,,
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,125","$15,510","1,632","1,120",,,,,,,,,,,
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat D (Motorcycles),469,$951,681,469,,,,,,,,,,,
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat C (Goods vehicles and buses),349,"$15,002",478,345,,,,,,,,,,,
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat E (Open),"1,106","$15,110","1,692","1,105",,,,,,,,,,,
February 2008 First Open Bidding Exercise,05/02/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,167","$12,002","3,005","2,155",,,,,,,,,,,
February 2008 First Open Bidding Exercise,05/02/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,133","$13,209","1,454","1,133",,,,,,,,,,,
February 2008 First Open Bidding Exercise,05/02/2008,2008,Cat D (Motorcycles),441,$999,648,438,,,,,,,,,,,
February 2008 First Open Bidding Exercise,05/02/2008,2008,Cat C (Goods vehicles and buses),357,"$13,001",551,350,,,,,,,,,,,
February 2008 First Open Bidding Exercise,05/02/2008,2008,Cat E (Open),"1,093","$13,301","1,786","1,092",,,,,,,,,,,
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,231","$12,001","2,611","2,098",,,,,,,,,,,
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,144","$13,289","1,328","1,144",,,,,,,,,,,
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat D (Motorcycles),443,"$1,012",550,413,,,,,,,,,,,
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat C (Goods vehicles and buses),349,"$12,501",424,345,,,,,,,,,,,
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat E (Open),"1,169","$13,801","1,829","1,150",,,,,,,,,,,
January 2008 First Open Bidding Exercise,09/01/2008,2008,Cat A (Cars up to 1600cc and 97kW),"2,162","$14,052","2,553","2,154",,,,,,,,,,,
January 2008 First Open Bidding Exercise,09/01/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,172","$15,989","1,556","1,164",,,,,,,,,,,
January 2008 First Open Bidding Exercise,09/01/2008,2008,Cat D (Motorcycles),475,"$1,101",527,473,,,,,,,,,,,
January 2008 First Open Bidding Exercise,09/01/2008,2008,Cat C (Goods vehicles and buses),352,"$13,000",446,340,,,,,,,,,,,
January 2008 First Open Bidding Exercise,09/01/2008,2008,Cat E (Open),"1,094","$15,601","1,658","1,088",,,,,,,,,,,
January 2007 First Open Bidding Exercise,01/01/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,668","$11,704","3,686","2,663",,,,,,,,,,,
January 2007 First Open Bidding Exercise,01/01/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,271","$13,001","1,460","1,268",,,,,,,,,,,
January 2007 First Open Bidding Exercise,01/01/2007,2007,Cat C (Goods vehicles and buses),509,$1,338,338,,,,,,,,,,,
January 2007 First Open Bidding Exercise,01/01/2007,2007,Cat D (Motorcycles),459,"$1,214",759,370,,,,,,,,,,,
January 2007 First Open Bidding Exercise,01/01/2007,2007,Cat E (Open),"1,304","$13,301","1,863","1,296",,,,,,,,,,,
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat A (Cars up to 1600cc and 97kW),"2,671","$11,881","3,155","2,670",,,,,,,,,,,
